,name,main_speaker,views,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring
414,Rodney Mullen: Pop an ollie and innovate!,Rodney Mullen,814297,104,349,30,129,42,44,118,14,23,56,86,34,19,9,12
415,Megan Kamerick: Women should represent women in media,Megan Kamerick,298776,159,172,123,94,60,24,12,22,18,18,12,3,17,1,1
416,David R. Dow: Lessons from death row inmates,David R. Dow,3024826,308,871,72,482,464,261,169,68,25,24,51,35,3,8,0
417,Ivan Oransky: Are we over-medicalized?,Ivan Oransky,641193,76,125,118,26,18,30,11,62,18,60,26,19,8,11,5
418,Marco Tempest: The electric rise and fall of Nikola Tesla,Marco Tempest,1721411,186,312,746,345,588,383,354,90,94,27,31,20,13,22,15
419,"Peter Norvig: The 100,000-student classroom",Peter Norvig,1054590,104,305,90,195,34,17,108,124,31,24,4,7,1,1,0
420,Wolfgang Kessling: How to air-condition outdoor spaces,Wolfgang Kessling,703243,61,49,68,108,7,123,69,33,52,51,12,18,7,14,1
421,Jon Nguyen: Tour the solar system from home,Jon Nguyen,721905,63,92,80,125,238,112,168,15,13,33,4,8,4,7,0
422,Nirmalya Kumar: India's invisible innovation,Nirmalya Kumar,881361,158,307,110,104,21,37,28,49,32,8,112,26,13,8,24
423,E.O. Wilson: Advice to a young scientist,E.O. Wilson,1057964,150,153,639,111,124,101,54,13,53,19,4,19,13,30,59
424,Rives: Reinventing the encyclopedia game,Rives,722536,87,317,183,223,84,143,111,17,40,12,25,5,6,2,4
425,Massimo Banzi: How Arduino is open-sourcing imagination,Massimo Banzi,1778974,109,310,506,314,142,155,37,15,45,4,31,20,3,0,0
426,Don Tapscott: Four principles for the open world,Don Tapscott,1009356,156,227,222,667,154,83,218,56,14,53,20,28,60,8,9
427,Elyn Saks: A tale of mental illness -- from the inside,Elyn Saks,3247799,254,1381,1078,196,194,288,564,362,25,13,31,44,13,5,11
428,Boaz Almog: The levitating superconductor,Boaz Almog,2364799,309,1383,20,20,73,378,782,221,366,10,24,32,24,84,16
429,Alanna Shaikh: How I'm preparing to get Alzheimer's,Alanna Shaikh,1280380,211,377,889,742,96,194,324,64,7,26,56,38,13,45,13
430,Raghava KK: What's your 200-year plan?,Raghava KK,811778,56,31,16,34,72,95,40,88,15,49,62,21,31,17,6
431,Cesar Harada: A novel idea for cleaning up oil spills,Cesar Harada,841128,102,197,406,4,350,73,75,101,38,72,18,13,18,2,7
432,Usman Riaz + Preston Reed: A young guitarist meets his hero,Usman Riaz + Preston Reed,3346345,211,932,931,537,495,52,149,19,36,12,5,20,9,15,5
433,Jane McGonigal: The game that can give you 10 extra years of life,Jane McGonigal,6141140,554,709,3210,651,860,1233,871,1218,605,76,225,57,356,119,14
434,Jonathan Eisen: Meet your microbes,Jonathan Eisen,736224,198,278,118,18,39,62,29,33,12,12,15,26,2,531,4
435,"Chris Gerdes: The future race car -- 150mph, and no driver",Chris Gerdes,731620,108,141,74,93,55,22,9,29,21,44,21,30,5,5,7
436,Marc Goodman: A vision of crimes in the future,Marc Goodman,1217317,458,156,397,86,560,282,304,123,46,224,105,65,18,41,8
437,Jared Ficklin: New ways to see music (with color! and fire!),Jared Ficklin,669088,48,12,133,28,52,41,32,45,71,16,4,16,8,5,1
438,Todd Humphreys: How to fool a GPS,Todd Humphreys,729428,165,316,87,41,70,4,249,12,77,41,8,4,4,8,6
439,Gabriel Barcia-Colombo: Capturing memories in video art,Gabriel Barcia-Colombo,729993,45,18,97,59,137,43,109,5,3,46,17,8,2,6,14
440,Mina Bissell: Experiments that point to a new understanding of cancer,Mina Bissell,990712,197,250,421,275,193,348,109,26,95,114,10,8,20,12,6
441,Jamie Drummond: Let's crowdsource the world's goals,Jamie Drummond,509747,138,111,62,66,14,11,9,44,26,10,24,11,6,17,2
442,Baba Shiv: Sometimes it's good to give up the driver's seat,Baba Shiv,850833,89,128,73,56,57,25,49,47,11,3,2,17,11,4,4
443,Matt Mills: Image recognition that triggers augmented reality,Matt Mills,2623011,140,235,214,235,51,76,80,17,17,12,34,8,11,2,5
444,Neil Harbisson: I listen to color,Neil Harbisson,2468887,277,103,396,1210,434,18,418,581,252,137,46,35,11,12,739
445,John Graham-Cumming: The greatest machine that never was,John Graham-Cumming,1184933,66,232,66,247,19,20,4,69,29,30,5,47,3,7,7
446,Vinay Venkatraman: Technology crafts for the digitally underserved,Vinay Venkatraman,585351,67,83,189,158,43,7,55,33,23,8,14,5,2,1,0
447,James Stavridis: A Navy Admiral's thoughts on global security,James Stavridis,721266,203,40,177,145,86,40,131,44,4,22,63,5,20,16,6
448,Malte Spitz: Your phone company is watching,Malte Spitz,1619108,227,293,688,304,31,42,73,18,121,149,128,29,13,23,4
449,Tracy Chevalier: Finding the story inside the painting,Tracy Chevalier,1191702,135,45,117,32,64,25,35,11,223,149,177,44,41,19,6
450,Ramesh Raskar: Imaging at a trillion frames per second,Ramesh Raskar,4039820,404,656,913,220,1294,322,293,10,11,39,11,21,27,16,8
451,Michael Hansmeyer: Building unimaginable shapes,Michael Hansmeyer,863507,131,180,195,116,133,38,12,16,41,14,104,7,41,12,6
452,Noah Wilson-Rich: Every city needs healthy honey bees,Noah Wilson-Rich,687263,89,175,195,48,131,29,35,84,35,25,7,15,16,11,8
453,Giles Duley: When a reporter becomes the story,Giles Duley,144044,43,48,5,50,421,314,17,128,8,61,4,4,1,1,0
454,Michael Anti: Behind the Great Firewall of China,Michael Anti,1423930,463,245,474,33,26,24,130,335,155,101,19,27,46,9,58
455,Stephen Ritz: A teacher growing green in the South Bronx,Stephen Ritz,1112964,168,785,182,181,168,99,112,121,132,200,7,8,1,5,3
456,Daphne Koller: What we're learning from online education,Daphne Koller,2302206,473,1529,654,177,454,555,655,248,132,29,65,11,16,23,15
457,Becci Manson: (Re)touching lives through photos,Becci Manson,767285,64,271,294,86,12,27,19,60,2,16,17,6,2,2,3
458,Mark Applebaum: The mad scientist of music,Mark Applebaum,3600582,117,89,155,41,101,25,108,109,41,29,51,20,10,19,37
459,Hannah Fry: Is life really that complex?,Hannah Fry,353350,148,108,194,118,98,77,263,40,29,47,17,25,32,6,10
460,Scilla Elworthy: Fighting with nonviolence,Scilla Elworthy,1145261,203,98,18,525,155,199,210,98,113,50,49,18,21,28,7
461,Margaret Heffernan: Dare to disagree,Margaret Heffernan,3167353,466,1469,878,678,2020,805,55,206,163,33,25,157,81,13,6
462,Max Little: A test for Parkinson's with a phone call,Max Little,1065331,231,297,87,54,162,123,74,28,11,16,2,12,1,1,0
463,Pam Warhurst: How we can eat our landscapes,Pam Warhurst,1206351,203,149,991,240,23,15,8,301,126,450,214,97,161,6,3
464,Kirby Ferguson: Embrace the remix,Kirby Ferguson,1356163,223,449,206,255,330,64,114,79,91,37,8,38,7,31,3
465,Lisa Kristine: Photos that bear witness to modern slavery,Lisa Kristine,2586606,526,508,863,983,742,206,732,159,27,28,24,16,29,20,32
466,Mark Forsyth: What's a snollygoster? A short lesson in political speak,Mark Forsyth,582161,75,181,49,48,99,82,19,2,7,11,20,4,8,9,3
467,Ivan Krastev: Can democracy exist without trust?,Ivan Krastev,640604,170,26,125,267,18,196,63,34,86,95,17,3,36,11,7
468,Caitria + Morgan O'Neill: How to step up in the face of disaster,Caitria + Morgan O'Neill,805880,82,30,67,90,29,190,6,47,72,97,7,9,11,5,9
469,Jon Ronson: Strange answers to the psychopath test,Jon Ronson,10167161,439,356,1417,684,283,580,227,259,121,86,52,170,221,151,70
470,"Timothy Prestero: Design for people, not awards",Timothy Prestero,1024653,91,212,209,306,144,95,35,12,18,38,3,22,1,2,0
471,Rob Legato: The art of creating awe,Rob Legato,1952381,98,383,435,132,113,255,223,7,57,12,113,12,19,12,12
472,Robert Neuwirth: The power of the informal economy,Robert Neuwirth,754755,63,249,105,118,4,32,13,71,31,7,23,25,9,28,12
473,Shyam Sankar: The rise of human-computer cooperation,Shyam Sankar,856136,78,31,56,192,47,28,142,96,82,15,5,13,6,24,26
474,"Antony Gormley: Sculpted space, within and without",Antony Gormley,464213,49,68,29,57,26,28,50,14,12,17,5,6,2,6,0
475,Jonathan Trent: Energy from floating algae pods,Jonathan Trent,809361,109,53,149,144,231,94,139,20,41,20,13,7,4,3,2
476,Kent Larson: Brilliant designs to fit more people in every city,Kent Larson,1052980,159,1560,327,229,45,28,66,33,264,143,14,12,13,4,2
477,Scott Fraser: Why eyewitnesses get it wrong,Scott Fraser,1050633,169,235,269,319,59,74,36,9,56,54,33,22,15,21,9
478,Vikram Patel: Mental health for all by involving all,Vikram Patel,933277,96,128,165,32,23,169,47,43,3,18,42,10,5,0,0
479,Leslie T. Chang: The voices of China's workers,Leslie T. Chang,1362071,455,100,21,204,218,26,433,174,41,74,106,19,51,44,21
480,Susan Solomon: The promise of research with stem cells,Susan Solomon,832831,96,44,86,66,119,12,18,16,31,175,92,13,24,20,3
481,Wayne McGregor: A choreographer's creative process in real time,Wayne McGregor,891589,82,28,30,128,14,135,141,29,31,56,22,17,40,16,11
482,Beth Noveck: Demand a more open-source government,Beth Noveck,516355,78,112,131,17,40,42,30,22,22,94,22,23,3,8,3
483,Tristram Stuart: The global food waste scandal,Tristram Stuart,1471114,211,559,101,164,406,417,25,37,112,32,18,28,2,7,4
484,Sarah-Jayne Blakemore: The mysterious workings of the adolescent brain,Sarah-Jayne Blakemore,2246203,165,51,978,187,489,191,32,39,31,118,56,58,26,30,18
485,Julian Treasure: Why architects need to use their ears,Julian Treasure,1225395,128,307,221,346,35,75,5,157,35,1,10,24,5,3,5
486,Andrew Blum: Discover the physical side of the internet,Andrew Blum,1337967,94,114,266,29,471,49,51,21,12,20,54,27,12,30,11
487,Bandi Mbubi: Demand a fair trade cell phone,Bandi Mbubi,587181,91,156,30,181,82,11,15,21,108,4,13,19,5,7,1
488,Ed Gavagan: A story about knots and surgeons,Ed Gavagan,924318,81,107,442,351,228,117,18,1,2,28,12,41,9,4,8
489,Rachel Botsman: The currency of the new economy is trust,Rachel Botsman,1239316,169,39,389,62,28,304,258,386,109,52,32,57,11,13,9
490,Andrew McAfee: Are droids taking our jobs?,Andrew McAfee,956324,260,194,200,208,79,226,5,42,46,43,19,25,9,23,44
491,"Read Montague: What we're learning from 5,000 brains",Read Montague,693628,45,45,88,106,17,53,63,131,38,48,11,15,2,5,3
492,Clay Shirky: How the Internet will (one day) transform government,Clay Shirky,1245095,202,349,185,302,83,385,197,71,46,13,6,21,10,13,4
493,John Lloyd: An animated tour of the invisible,John Lloyd,336430,180,274,156,660,436,206,16,40,272,62,21,16,21,69,13
494,Ben Goldacre: What doctors don't know about the drugs they prescribe,Ben Goldacre,2228138,380,831,1126,431,211,485,39,125,46,18,5,20,4,15,8
495,Bahia Shehab: A thousand times no,Bahia Shehab,1024326,87,284,185,305,15,22,4,39,32,25,11,17,3,1,2
496,Aris Venetikidis: Making sense of maps,Aris Venetikidis,661530,40,86,75,40,18,150,26,33,39,4,55,6,6,6,13
497,Vicki Arroyo: Let's prepare for our new climate,Vicki Arroyo,1030762,122,255,186,142,41,53,49,40,10,9,6,9,24,14,7
498,Amy Cuddy: Your body language may shape who you are,Amy Cuddy,43155405,2290,3586,9787,11111,6217,6305,1428,21210,1129,3232,155,338,335,938,197
499,Robert Gupta: Between music and medicine,Robert Gupta,1038897,125,60,313,252,19,134,33,68,27,12,12,27,13,1,0
500,Jason McCue: Terrorism is a failed brand,Jason McCue,788255,179,142,4,93,76,69,93,29,38,45,65,42,14,43,2
501,Shimon Schocken: The self-organizing computer course,Shimon Schocken,983172,94,55,405,111,31,155,202,170,11,13,33,36,8,5,2
502,Thomas P. Campbell: Weaving narratives in museum galleries,Thomas P. Campbell,625454,31,5,45,77,82,56,6,37,84,23,11,5,14,14,6
503,Tim Leberecht: 3 ways to (usefully) lose control of your brand,Tim Leberecht,943919,46,52,80,8,254,21,167,85,37,20,13,10,14,101,13
504,"John Maeda: How art, technology and design inform creative leaders",John Maeda,1045703,62,135,46,24,112,70,61,42,175,73,10,22,27,9,2
505,Ruby Wax: What's so funny about mental illness?,Ruby Wax,2352202,225,232,601,907,94,449,127,357,83,42,85,58,34,89,22
506,Melissa Marshall: Talk nerdy to me,Melissa Marshall,2106788,350,523,430,227,382,157,367,113,69,96,49,33,13,89,12
507,Maurizio Seracini: The secret lives of paintings,Maurizio Seracini,725173,32,33,135,105,18,27,4,66,10,26,13,43,5,6,2
508,Eddie Obeng: Smart failure for a fast-changing world,Eddie Obeng,1495331,150,229,72,259,156,346,125,33,33,50,127,13,17,61,19
509,John Wilbanks: Let's pool our medical data,John Wilbanks,539219,92,113,38,18,181,14,53,122,68,7,1,8,2,10,0
510,"Beau Lotto + Amy O'Toole: Science is for everyone, kids included",Beau Lotto + Amy O'Toole,1272319,119,134,447,176,77,81,131,117,60,38,81,6,12,17,29
511,Heather Brooke: My battle to expose government corruption,Heather Brooke,932024,127,52,369,21,36,223,219,185,20,62,19,15,6,14,3
512,"Ryan Merkley: Online video -- annotated, remixed and popped",Ryan Merkley,695153,111,31,88,91,186,129,33,60,35,9,8,7,11,2,4
513,"Pankaj Ghemawat: Actually, the world isn't flat",Pankaj Ghemawat,813261,115,39,63,108,35,241,83,37,55,35,15,23,16,7,4
514,David Pizarro: The strange politics of disgust,David Pizarro,692434,102,281,242,109,39,44,89,17,17,27,9,16,10,5,0
515,Lemn Sissay: A child of the state,Lemn Sissay,720465,141,344,196,106,13,52,71,83,31,109,6,11,9,14,7
516,Doris Kim Sung: Metal that breathes,Doris Kim Sung,1171568,151,191,213,359,35,68,56,4,118,48,6,35,13,3,6
517,Marco Tempest: A cyber-magic card trick like no other,Marco Tempest,1965808,109,552,13,456,60,88,14,26,222,150,242,11,53,22,10
518,Rory Stewart: Why democracy matters,Rory Stewart,852344,361,181,140,12,123,67,63,38,86,15,44,10,20,7,6
519,Sanjay Pradhan: How open data is changing international aid,Sanjay Pradhan,488481,58,36,73,115,58,11,23,20,8,15,4,5,3,1,3
520,Emma Teeling: The secret of the bat genome,Emma Teeling,472121,79,207,49,133,50,26,17,43,67,6,29,10,17,4,4
521,"Adam Garone: Healthier men, one moustache at a time",Adam Garone,714578,77,307,172,74,54,57,73,81,20,4,15,2,10,5,0
522,Faith Jegede Cole: What I've learned from my autistic brothers,Faith Jegede Cole,1123786,169,480,250,110,615,9,100,38,32,91,75,15,18,5,13
523,Matt Killingsworth: Want to be happier? Stay in the moment,Matt Killingsworth,2723934,300,283,294,81,537,174,133,38,149,19,8,34,33,16,18
524,Jake Wood: A new mission for veterans -- disaster relief,Jake Wood,485501,105,140,51,93,41,47,9,7,4,14,16,6,1,3,0
525,Gary Greenberg: The beautiful nano details of our world,Gary Greenberg,1022799,44,169,330,37,332,70,57,4,12,3,21,6,4,2,1
526,Georgette Mulheir: The tragedy of orphanages,Georgette Mulheir,803292,69,55,129,98,15,2,163,51,16,8,19,2,6,2,2
527,Jeff Hancock: The future of lying,Jeff Hancock,1198585,107,357,37,40,218,105,15,69,98,9,48,28,8,11,20
528,Julie Burstein: 4 lessons in creativity,Julie Burstein,1776779,76,421,135,55,82,139,191,94,15,76,19,9,19,21,8
529,Arunachalam Muruganantham: How I started a sanitary napkin revolution!,Arunachalam Muruganantham,1115222,170,175,332,681,297,227,125,87,77,48,17,4,6,5,2
530,Hannah Brencher: Love letters to strangers,Hannah Brencher,1909462,197,42,61,155,765,748,79,263,7,77,98,20,22,17,18
531,"Leah Buechley: How to ""sketch"" with electronics",Leah Buechley,766305,82,162,47,45,132,37,96,92,73,8,10,7,8,16,4
532,David Binder: The arts festival revolution,David Binder,674288,41,17,12,96,45,28,29,13,7,47,11,7,2,7,0
533,Daphne Bavelier: Your brain on video games,Daphne Bavelier,4682458,309,285,103,691,347,148,41,83,73,32,63,12,28,46,17
534,Amos Winter: The cheap all-terrain wheelchair,Amos Winter,1004016,136,52,322,125,37,275,49,97,37,2,30,4,2,12,4
535,Sleepy Man Banjo Boys: Teen wonders play bluegrass,Sleepy Man Banjo Boys,1798001,87,285,366,16,182,135,25,25,5,5,22,1,7,2,0
536,Louie Schwartzberg: Nature. Beauty. Gratitude.,Louie Schwartzberg,3658158,667,4399,27,32,3422,793,131,176,352,98,1110,192,45,10,27
537,Candy Chang: Before I die I want to ...,Candy Chang,4922118,782,55,2572,502,366,307,1394,119,223,203,85,37,80,38,21
538,Ernesto Sirolli: Want to help someone? Shut up and listen!,Ernesto Sirolli,2829484,329,1100,250,2108,695,377,596,616,197,54,224,20,4,7,10
539,Jonas Eliasson: How to solve traffic jams,Jonas Eliasson,1194938,221,174,103,43,155,319,111,74,17,95,19,32,20,25,10
540,Janine Shepherd: A broken body isn't a broken person,Janine Shepherd,1367089,342,842,1471,117,370,190,90,280,7,23,4,13,11,14,8
541,Munir Virani: Why I love vultures,Munir Virani,926948,74,100,248,68,160,18,45,79,10,40,5,3,8,4,0
542,"Paolo Cardini: Forget multitasking, try monotasking",Paolo Cardini,2324212,183,328,397,457,62,193,107,284,62,44,62,104,45,25,11
543,Bobby Ghosh: Why global jihad is losing,Bobby Ghosh,660569,238,26,275,74,80,134,9,12,24,12,126,79,22,6,0
544,Ludwick Marishane: A bath without water,Ludwick Marishane,1594495,129,85,341,465,257,46,139,94,20,78,44,47,9,4,3
545,Jeff Smith: Lessons in business ... from prison,Jeff Smith,1233545,102,186,77,26,106,18,56,80,97,34,6,7,5,2,6
546,Nina Tandon: Could tissue engineering mean personalized medicine?,Nina Tandon,1063880,145,34,30,85,128,136,53,40,20,16,16,6,13,11,6
547,Lemon Andersen: Please don't take my Air Jordans,Lemon Andersen,1120276,84,170,54,88,50,36,41,25,73,168,10,104,102,35,13
548,"Ellen 't Hoen: Pool medical patents, save lives",Ellen 't Hoen,389194,94,74,42,8,16,10,24,32,8,13,8,4,4,4,0
549,Markham Nolan: How to separate fact and fiction online,Markham Nolan,1229150,107,29,207,525,111,35,78,60,117,11,15,3,20,14,6
550,"Maz Jobrani: A Saudi, an Indian and an Iranian walk into a Qatari bar ...",Maz Jobrani,8105311,200,207,2466,60,211,136,147,104,93,40,28,135,23,7,24
551,Marcus Byrne: The dance of the dung beetle,Marcus Byrne,1003863,72,252,35,33,12,87,209,27,48,20,5,1,1,2,0
552,Ben Saunders: Why bother leaving the house?,Ben Saunders,1778739,112,142,636,305,91,172,55,47,12,21,5,23,47,34,6
553,"Robin Chase: Excuse me, may I rent your car?",Robin Chase,917877,82,54,74,39,21,116,69,15,44,6,38,6,7,16,1
554,Molly Crockett: Beware neuro-bunk,Molly Crockett,1200277,183,277,73,80,585,144,55,23,87,31,14,13,19,25,4
555,"Steven Addis: A father-daughter bond, one photo at a time",Steven Addis,1405909,75,422,292,9,19,65,54,28,8,11,34,6,16,9,5
556,Adam Davidson: What we learned from teetering on the fiscal cliff,Adam Davidson,783528,215,168,26,41,8,247,48,59,27,24,18,14,14,8,1
557,Ronny Edry: Israel and Iran: A love story?,Ronny Edry,2033797,810,661,151,577,1067,44,122,171,125,41,35,7,26,15,6
558,Karen Thompson Walker: What fear can teach us,Karen Thompson Walker,1951290,200,113,293,533,29,232,299,95,112,208,73,118,21,29,5
559,Hadyn Parry: Re-engineering mosquitos to fight disease,Hadyn Parry,943968,311,267,234,156,66,31,68,12,30,4,10,15,8,3,9
560,Don Levy: A cinematic journey through visual effects,Don Levy,724773,56,32,94,70,101,139,16,57,6,12,7,19,15,8,3
561,Jonathan Haidt: How common threats can make common (political) ground,Jonathan Haidt,606994,226,114,228,37,62,161,8,26,26,42,25,17,4,4,16
562,Sue Austin: Deep sea diving ... in a wheelchair,Sue Austin,2052286,197,188,589,283,212,30,76,341,7,14,36,52,10,10,15
563,Jarrett J. Krosoczka: How a boy became an artist,Jarrett J. Krosoczka,879676,134,663,316,25,107,251,8,95,13,26,24,21,3,0,0
564,Boghuma Kabisen Titanji: Ethical riddles in HIV research,Boghuma Kabisen Titanji,478878,54,31,113,7,81,47,23,33,3,16,11,3,7,4,0
565,Andy Puddicombe: All it takes is 10 mindful minutes,Andy Puddicombe,8033595,366,1228,384,3410,73,1404,410,829,561,134,79,197,112,48,13
566,Angela Patton: A father-daughter dance ... in prison,Angela Patton,815594,127,383,335,62,140,55,26,2,35,14,50,6,22,8,4
567,"Ellen Jorgensen: Biohacking -- you can do it, too",Ellen Jorgensen,1164723,169,220,95,40,179,94,163,43,15,18,25,23,10,10,8
568,"Cameron Russell: Looks aren't everything. Believe me, I'm a model.",Cameron Russell,19787465,846,92,124,612,986,2306,1617,497,924,632,119,302,77,231,101
569,Richard Weller: Could the sun be good for your heart?,Richard Weller,1042284,93,287,5,29,133,96,39,22,5,24,3,18,6,4,2
570,Colin Stokes: How movies teach manhood,Colin Stokes,4146987,659,820,1308,722,205,346,95,133,263,352,360,207,125,88,74
571,Janine di Giovanni: What I saw in the war,Janine di Giovanni,939074,120,96,62,158,333,173,93,362,104,23,9,19,7,10,8
572,Colin Powell: Kids need structure,Colin Powell,1485801,818,149,68,235,219,549,103,154,39,80,184,28,73,27,18
573,Steven Schwaitzberg: A universal translator for surgeons,Steven Schwaitzberg,497489,73,81,30,30,15,23,27,35,28,25,15,8,4,1,1
574,Leslie Morgan Steiner: Why domestic violence victims don't leave,Leslie Morgan Steiner,3846779,800,307,1055,231,1560,335,766,13,57,39,140,16,12,5,13
575,Wingham Rowan: A new kind of job market,Wingham Rowan,1058852,144,142,74,120,85,23,34,32,3,48,25,114,14,4,2
576,Mitch Resnick: Let's teach kids to code,Mitch Resnick,1725064,143,560,122,243,151,72,113,67,34,8,25,41,18,23,13
577,iO Tillett Wright: Fifty shades of gay,iO Tillett Wright,2679698,411,791,1109,795,335,116,102,270,28,275,45,22,37,51,8
578,Fahad Al-Attiya: A country with no water,Fahad Al-Attiya,1412688,103,43,264,55,51,35,116,8,73,78,32,30,15,8,12
579,Zahra' Langhi: Why Libya's revolution didn't work -- and what might,Zahra' Langhi,525297,93,17,41,51,33,106,82,12,14,29,20,10,3,2,0
580,Tyler DeWitt: Hey science teachers -- make it fun,Tyler DeWitt,1489438,312,237,75,53,35,414,547,197,182,43,116,72,171,1,34
581,Cesar Kuriyama: One second every day,Cesar Kuriyama,1666552,249,729,41,20,230,173,202,45,52,19,96,78,18,45,19
582,Lee Cronin: Print your own medicine,Lee Cronin,987709,210,84,154,124,48,96,8,38,8,21,50,8,1,6,8
583,Edi Rama: Take back your city with paint,Edi Rama,595537,99,72,95,25,11,303,82,87,90,28,89,13,6,12,11
584,Shabana Basij-Rasikh: Dare to educate Afghan girls,Shabana Basij-Rasikh,932561,166,78,620,121,497,224,48,97,7,10,7,23,5,7,1
585,"Erik Schlangen: A ""self-healing"" asphalt",Erik Schlangen,984382,122,238,20,12,176,42,10,108,31,46,4,4,4,1,4
586,James B. Glattfelder: Who controls the world?,James B. Glattfelder,2533881,301,138,203,177,292,568,84,102,76,89,7,63,122,20,23
587,Esther Perel: The secret to desire in a long-term relationship,Esther Perel,10524043,473,1205,2253,1068,2146,2008,389,270,588,438,174,73,73,37,63
588,"Young-ha Kim: Be an artist, right now!",Young-ha Kim,1841716,158,255,906,280,123,117,61,29,40,96,36,6,13,2,6
589,"Miguel Nicolelis: A monkey that controls a robot with its thoughts. No, really.",Miguel Nicolelis,1229865,206,280,412,202,260,235,29,22,9,41,11,28,22,12,5
590,Keith Chen: Could your language affect your ability to save money?,Keith Chen,1642461,342,89,657,266,138,575,114,228,172,17,114,20,24,19,31
591,Afra Raymond: Three myths about corruption,Afra Raymond,824898,162,201,76,89,161,38,31,7,24,35,18,3,17,7,5
592,Andreas Schleicher: Use data to build better schools,Andreas Schleicher,699088,145,280,170,77,119,13,30,24,5,23,4,25,12,13,8
593,Michael Dickinson: How a fly flies,Michael Dickinson,1555722,137,97,476,356,120,39,45,97,37,17,43,7,14,6,3
594,Bruce Feiler: Agile programming -- for your family,Bruce Feiler,1403668,117,172,595,178,226,283,57,41,25,34,14,34,40,26,8
595,"Bruno Maisonnier: Dance, tiny robots!",Bruno Maisonnier,1193896,129,116,126,223,151,98,111,48,28,9,6,10,7,8,9
596,Sugata Mitra: Build a School in the Cloud,Sugata Mitra,2895821,548,564,469,1818,200,844,258,507,358,280,76,24,18,13,26
597,Jennifer Granholm: A clean energy proposal -- race to the top!,Jennifer Granholm,745252,279,17,59,117,146,51,84,14,17,10,61,41,20,8,26
598,Amanda Palmer: The art of asking,Amanda Palmer,9006600,838,753,1647,1658,3013,762,211,261,178,380,81,116,71,38,24
599,Allan Savory: How to fight desertification and reverse climate change,Allan Savory,4191678,1586,1145,961,1400,729,953,1614,239,27,132,20,24,36,102,11
600,Edith Widder: How we found the giant squid,Edith Widder,3773245,205,200,874,606,261,367,46,255,79,58,41,23,17,13,12
601,Ron Finley: A guerilla gardener in South Central LA,Ron Finley,3005687,1413,668,313,2346,707,480,717,291,563,215,5,29,10,6,5
602,Kakenya Ntaiya: A girl who demanded school,Kakenya Ntaiya,2460131,208,148,692,826,280,132,126,104,5,1,9,12,9,3,0
603,Shane Koyczan: To This Day ... for the bullied and beautiful,Shane Koyczan,5316753,720,2854,1812,789,2376,92,300,230,197,42,109,18,7,4,35
604,Dan Pallotta: The way we think about charity is dead wrong,Dan Pallotta,4259204,1451,2139,1221,31,487,727,429,1784,139,43,66,422,111,68,30
605,David Anderson: Your brain is more than a bag of chemicals,David Anderson,1342510,212,42,484,214,328,22,123,78,26,157,3,7,12,19,8
606,Stewart Brand: The dawn of de-extinction. Are you ready?,Stewart Brand,1939539,400,251,20,313,121,50,61,186,5,5,8,58,24,180,2
607,"Bono: The good news on poverty (Yes, there's good news)",Bono,1648677,361,183,80,444,39,84,215,35,47,92,45,34,13,6,30
608,Catarina Mota: Play with smart materials,Catarina Mota,1058569,135,123,208,38,33,211,64,166,19,76,12,29,14,7,3
609,Danny Hillis: The Internet could crash. We need a Plan B,Danny Hillis,1265177,172,267,568,50,96,36,46,4,131,22,33,17,56,30,19
610,"Elon Musk: The mind behind Tesla, SpaceX, SolarCity ...",Elon Musk,4564213,417,257,628,1538,273,863,459,40,320,109,98,7,17,16,12
611,Hyeonseo Lee: My escape from North Korea,Hyeonseo Lee,9551344,902,507,53,20,17,1941,1208,123,401,345,355,133,34,37,39
612,Francis Collins: We need better drugs -- now,Francis Collins,796884,156,91,154,94,75,37,10,6,18,17,12,12,3,9,4
613,Eric Whitacre: Virtual Choir Live,Eric Whitacre,1005088,208,328,122,87,105,131,16,16,11,5,44,11,5,5,5
614,Jessica Green: We're covered in germs. Let's design for that.,Jessica Green,955827,91,211,254,101,20,56,57,38,19,49,7,12,7,14,4
615,Mark Shaw: One very dry demo,Mark Shaw,1539504,328,316,298,302,66,152,23,53,21,47,7,13,12,4,3
616,Richard Turere: My invention that made peace with lions,Richard Turere,2025005,246,812,160,1283,274,268,43,43,11,289,98,126,16,13,15
617,"Colin Camerer: When you're making a deal, what's going on in your brain?",Colin Camerer,1342712,80,70,183,234,40,42,49,8,23,15,25,18,7,1,0
618,Katherine Kuchenbecker: The technology of touch,Katherine Kuchenbecker,274986,183,150,180,83,8,10,27,156,38,12,7,22,21,5,2
619,Kees Moeliker: How a dead duck changed my life,Kees Moeliker,1306390,140,771,62,75,186,36,162,21,31,19,41,42,38,31,18
620,"Sanjay Dastoor: A skateboard, with a boost",Sanjay Dastoor,1683410,307,334,160,194,87,77,27,50,53,80,16,16,33,4,3
621,"Lawrence Lessig: We the People, and the Republic we must reclaim",Lawrence Lessig,1443340,728,44,592,1061,487,906,238,158,93,30,15,12,28,14,28
622,"Skylar Tibbits: The emergence of ""4D printing""",Skylar Tibbits,2449740,208,286,253,355,152,184,85,72,41,9,20,16,8,7,22
